ID,price
845,2327840.6722501423
1924,1111535.4978639795
10718,1241926.0120004434
12076,8312224.53136077
12254,1904337.3481057454
9950,2930068.7633524686
1548,2578808.810328215
526,1205744.899484402
6776,1045180.1059709066
1851,1460065.6569320117
9188,1941600.4696444604
3382,3062600.928284978
242,2503530.0096594244
6439,1916708.4621638323
1561,2588622.353042229
5339,2561149.433693324
7387,2322674.8863704605
11576,1842769.791606397
5984,4535332.491453405
4486,1746184.6165690902
2205,970935.769687308
3468,1337034.285957081
4226,2347982.703705161
2088,2369566.756385934
2118,2819210.3965418898
8036,1564475.8271850583
23,1247308.8530363203
1898,1989118.1050335104
6976,2301472.493801827
1465,3225613.8836508114
2040,1500930.41179336
482,1166942.5497080311
5122,1872975.5286710626
3447,1146046.2905379622
12877,2383462.270620276
3780,1375354.3449103322
1285,1677305.7267418401
9200,2063081.8140510973
921,3144410.4515014454
3060,2786087.447920643
1082,1041939.9265917756
71,2100797.6187841604
4464,1727070.7940847897
4576,3464856.4665966704
897,2900898.43979603
1756,944510.6654508263
8745,2290732.946291677
806,1532747.3906242049
803,1487616.5916249685
7613,1546297.924199187
243,1388001.8937795751
8135,1340301.5526390914
1527,2079054.7054346604
2825,1347152.6008606667
666,1111981.9756372077
12028,1608406.8033083386
2308,2068088.063062986
11223,1548496.9158598918
1479,899136.2760186363
2057,2289751.645496458
2368,1101535.8813569094
7638,2686142.293996036
432,2173446.5403844235
9800,1406978.9941768714
2140,3298028.8527439474
837,2085803.3600260133
3227,2012970.370609072
12412,1954281.8009226418
10267,1402496.966844889
3850,3248946.55132021
382,4138751.922124592
1280,2378159.175366383
2226,4217890.937937484
4166,3174665.274814923
5208,3079951.6218704954
4513,1694404.366143389
10814,3158418.294799963
3120,2870768.1770053343
7915,1899396.9029621284
3513,2195203.2540549715
9041,1395914.823411787
561,1339012.1323765656
11041,2846983.646383386
2920,2905323.4578452543
2042,1059155.2192286751
10220,1743441.5824301864
11511,1772767.1122297961
8424,2859480.2619172237
5801,2683654.281062428
10746,1332930.5929541916
11018,1170483.6618412756
816,750271.1783019739
10413,1577064.7528846404
4471,2967220.0524203535
1928,2019080.6032708471
323,1701703.9269499532
11548,3105123.536643492
12564,2364983.590239361
5817,3374858.266316792
1030,1395244.878907612
3888,1832320.8011742365
2427,1924957.9515163216
5378,1752449.8097157564
3701,1574203.922517549
4536,1593567.595831981
3799,2415132.914550874
9431,2387173.828509871
10878,1302647.3683974794
2028,896848.9105349083
5598,2179171.5593114244
5828,6037309.39800471
2842,2061357.3493488813
279,2296355.24782862
4812,2176006.74061664
11406,1917612.6145963417
1086,1469488.838787081
2696,1259222.3108699482
9220,1192973.9455934872
1496,1374015.181378169
3737,1238325.8180017537
12211,3147757.3797108624
1556,1808118.5171602946
1066,1344923.4869665452
1836,1167963.2920082184
10913,1295192.5356243234
1868,1484399.2173355883
12610,3487642.795014629
12146,1706615.2783404046
2087,1517535.4042875336
2916,2447811.4848608184
10188,2897517.687161941
3253,1437004.296625939
9082,2349634.420110519
12493,1336619.1395758607
5898,3483434.257561894
8409,2310887.9579256475
5885,2181007.237865349
1101,1032672.135777507
10071,2175002.639074521
11403,4472066.4803531105
728,1171185.265587009
11647,3633410.0570308734
1931,2171286.275378762
232,2789892.8470894056
3988,1752233.7860331074
9416,1735100.4032723014
1866,1775679.101471297
5685,2691299.25251749
2779,2034525.01750036
3294,3025217.1445432864
1471,2116123.9824642194
2960,1316664.8700554161
10447,1891466.2798060111
1220,2083920.0828870665
69,1620817.3975127302
2002,4041274.8368211016
2784,2304269.553478326
1911,2055571.669949928
3023,1240947.5194614762
3394,1657036.1420433407
5920,1336983.3197174547
688,2438533.408699209
1511,1856776.0216109399
3572,3503099.167032086
12401,1287689.38882171
10756,2428092.5427595456
4007,1725848.5263924908
3230,1071808.1460349017
12240,3251083.757720219
10539,1902588.9004300071
3226,3298918.5739604803
2280,1137587.7672864608
3650,2370229.176282616
8540,1397915.8921957423
5847,1608520.5665239552
6694,3319685.273552358
1336,1333262.0728898505
2538,2052318.7555030617
7185,3261680.6081930655
8314,2534015.0016222014
1204,952908.991524063
2020,1370391.0509067904
2468,1470066.7606752038
9909,1910945.2103446773
7935,1161206.842139237
1361,1593486.9690336727
6138,1601147.6605404452
1914,3534155.54123557
11090,1844145.242465573
9320,1662154.003251892
172,1743571.754295636
823,2557300.108679821
1189,1224908.567624669
3768,968695.9588909876
2993,1906701.5167171878
12873,1538657.76960211
1146,968659.3331342508
19,1615823.9695333103
2113,2492863.3857846335
5132,2523163.783715257
11109,2396011.779735556
1562,1133351.8148932108
337,1615062.336306125
1981,4346888.569067083
546,1546773.8526128172
7428,2146044.523219291
230,1007237.8228063488
412,2820497.637433743
2205,971656.9694652455
9114,2655791.5221875096
1803,2397671.499170993
1571,3348593.985917016
12362,3846242.0393886957
8109,1816101.2900126772
3868,3213983.492550619
3013,2197583.3589886692
1011,995533.5432672993
12983,3019134.3269909997
116,1778540.1066256193
3245,1637843.0245877793
2253,4020995.4141733814
10879,3112726.353001003
2246,1505902.782081516
11494,3125025.928950053
2259,3274859.0592547324
2199,1724485.9681071737
1692,1590479.7869479926
5772,1712930.901390982
10182,2194995.930303653
5051,2637705.711885452
5033,4906627.851837741
11113,2362982.3779168604
51,2197894.257304859
5129,1316317.9953573924
1550,1680202.5990432291
616,2854425.08202497
10151,2709394.520757694
6994,3579671.1131087374
5738,2567188.9392268094
5729,5100888.230085717
1122,951913.2851615453
3406,1340618.8591269753
2196,995351.4192043198
3768,2180629.0931348265
4432,2076664.3484390238
2236,1238734.0098371706
1743,2237735.6054886896
2046,2208760.3522720034
781,1031446.1101107476
1126,945339.924246055
10472,2939903.700211133
3524,1776847.2337254095
6922,1740968.7603560532
6018,2269064.4298211015
2973,2067376.6462556343
8323,3694813.215759676
576,1486548.8079174473
3118,1293126.8268872045
5737,2921889.532822198
4642,4117334.1111866254
8425,1434282.3438528767
2245,4762656.777303882
12248,1060754.6895802235
2533,1067119.1674386438
3134,1338032.55560543
5871,2391014.5177020594
9331,2538973.238561069
959,1983705.8262498905
2753,2471478.3907349277
2887,2053482.4811351534
11710,2256495.095720299
5279,3467906.593878404
3249,1360752.9121052234
9711,2598196.0526882084
5061,2245812.268353425
2493,1830359.9725106577
627,2503739.873949092
2618,1072049.119526036
4698,1334906.6308476066
1575,2103217.892266917
425,1090873.5519907223
944,1549660.424203402
3508,1598184.2340749828
3674,1539466.6738103814
3351,767065.1786069907
1348,757757.7206841568
1421,1030056.8972306857
9134,1059127.9425727457
6348,2524085.827288513
1277,2452620.3439542
1152,1167055.6528493967
7783,2492684.0010582455
29,2623673.6255791388
11244,1000839.4916089294
5924,5151658.039308521
3001,3990787.03310794
4587,1769829.7703125258
8303,3004377.8434852622
2439,1562707.0026823825
3060,3101335.5806534365
8575,5592737.094616771
11031,1121662.0456900243
2056,2709845.5101451846
8657,1394302.6410396607
7669,2396896.044562397
371,1777656.96079606
3985,1692977.6707896818
279,1393199.577363907
2964,1760376.6095981342
